day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
34,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,25,20,3,8,1,1,1,6,0,0,3,11,0,3,2,4,2,0,19,50,1,5,5,32,0,1,-711,0.0,14,1,0,15,0,0,0
35,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,29,29,5,9,1,3,2,8,1,0,1,8,0,3,0,16,0,1,22,59,1,8,3,37,1,0,-2316,0.0,19,2,1344,21,0,0,0
36,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,82,47,3,17,1,2,2,22,0,0,9,31,2,0,7,33,0,0,20,47,1,6,4,45,0,0,-2555,0.0,50,5,0,55,0,0,0
37,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,77,16,1,7,0,0,2,6,0,0,2,30,0,6,9,26,2,2,14,47,0,0,3,43,0,0,-3504,0.0,62,2,382,64,0,0,0
38,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,89,46,5,22,0,2,4,11,2,0,3,34,1,8,7,30,1,5,15,63,0,2,4,50,2,0,-3422,0.0,56,3,589,59,0,0,0
39,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,61,12,2,3,0,2,2,3,0,0,0,25,2,5,0,24,0,5,7,58,0,2,2,43,0,0,-2401,0.0,42,0,301,42,0,0,0
40,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,26,51,6,21,0,4,5,13,0,2,1,13,0,2,0,10,0,0,10,70,0,4,5,51,0,2,-1560,0.0,13,0,910,13,0,0,0
41,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,11,14,1,5,1,2,1,3,0,1,1,7,0,0,2,1,0,0,6,58,1,4,2,36,0,1,-393,0.0,5,1,132,6,0,0,0
42,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,41,47,5,23,1,3,3,12,0,0,4,12,0,3,4,13,0,5,11,74,1,6,4,42,0,0,-2690,0.0,28,1,1279,29,0,0,0
43,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,86,10,3,3,0,0,1,2,0,1,3,29,5,7,7,33,1,1,14,55,0,2,2,33,0,1,-3065,0.0,57,1,204,58,0,0,0
44,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,68,64,9,23,1,2,3,26,0,0,6,23,2,2,7,24,0,4,12,72,1,2,3,52,0,0,-3783,0.0,48,1,1372,49,0,0,0
45,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,99,0,0,0,0,0,0,0,0,0,9,30,3,8,5,41,1,2,8,54,0,0,0,43,0,0,-4088,0.0,77,2,216,79,0,0,0
46,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,43,67,12,31,0,6,5,12,0,1,2,18,0,3,0,20,0,0,17,76,0,6,5,45,0,1,-2323,0.0,28,1,912,29,0,0,0
47,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,23,0,0,0,0,0,0,0,0,0,3,8,0,0,2,10,0,0,13,57,0,3,3,40,0,0,-728,0.0,13,1,67,14,0,0,0
48,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,22,45,8,23,0,3,1,9,0,1,3,7,1,0,2,8,0,1,20,77,0,5,1,46,0,1,-1746,0.0,14,2,1024,16,0,0,0
49,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,44,11,4,5,0,0,0,2,0,0,4,14,4,0,7,14,0,1,22,59,0,3,0,23,0,0,-1733,0.0,34,3,0,37,0,0,0
50,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,46,42,5,21,0,0,3,12,0,1,4,17,1,1,6,15,0,2,25,77,0,1,3,32,0,1,-3212,0.0,29,2,1740,31,0,0,0
51,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,37,23,3,6,1,2,3,8,0,0,2,24,0,0,0,11,0,0,20,55,1,2,3,31,0,0,-1050,0.0,21,0,0,21,0,0,0
52,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,53,35,11,13,0,2,1,8,0,0,6,24,2,3,2,14,0,2,24,65,0,3,2,37,0,0,-3202,0.0,38,1,1291,39,0,0,0
53,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,35,23,4,10,1,1,1,6,0,0,3,14,2,2,1,10,1,2,24,55,1,1,1,36,0,0,-1382,0.0,24,1,171,25,0,0,0
