cuda
Start training
Train Epoch: 79 	Train_loss: 1.6211 	Train_acc: 34.26
	Val_loss: 1.9241 	Val_acc: 11.45
Train Epoch: 80 	Train_loss: 1.6202 	Train_acc: 34.24
	Val_loss: 1.9201 	Val_acc: 13.17
Train Epoch: 81 	Train_loss: 1.6219 	Train_acc: 34.18
	Val_loss: 1.9086 	Val_acc: 22.87
Train Epoch: 82 	Train_loss: 1.6212 	Train_acc: 34.22
	Val_loss: 1.9298 	Val_acc: 11.93
Train Epoch: 83 	Train_loss: 1.6204 	Train_acc: 34.20
	Val_loss: 1.9447 	Val_acc: 12.11
Train Epoch: 84 	Train_loss: 1.6193 	Train_acc: 34.31
	Val_loss: 1.9253 	Val_acc: 11.30
Train Epoch: 85 	Train_loss: 1.6187 	Train_acc: 34.35
	Val_loss: 1.9292 	Val_acc: 8.89
Train Epoch: 86 	Train_loss: 1.6184 	Train_acc: 34.34
	Val_loss: 1.9402 	Val_acc: 9.68
Train Epoch: 87 	Train_loss: 1.6181 	Train_acc: 34.42
	Val_loss: 1.9411 	Val_acc: 7.63
Train Epoch: 88 	Train_loss: 1.6173 	Train_acc: 34.38
	Val_loss: 1.9189 	Val_acc: 9.64
Train Epoch: 89 	Train_loss: 1.6160 	Train_acc: 34.43
	Val_loss: 1.9312 	Val_acc: 8.28
Train Epoch: 90 	Train_loss: 1.6156 	Train_acc: 34.52
	Val_loss: 1.9271 	Val_acc: 11.76
Train Epoch: 91 	Train_loss: 1.6150 	Train_acc: 34.50
	Val_loss: 1.9288 	Val_acc: 12.84
Train Epoch: 92 	Train_loss: 1.6161 	Train_acc: 34.40
	Val_loss: 1.9184 	Val_acc: 14.95
Train Epoch: 93 	Train_loss: 1.6136 	Train_acc: 34.56
./shells/kickstart_20.sh: line 1: 15530 Killed                  python3 -u main_network.py --seed 20
