Start training
Train Epoch: 102 	Train_loss: 0.5290 	Train_acc: 31.91
	Val_loss: 3.7228 	Val_acc: 2.00
Train Epoch: 103 	Train_loss: 0.5281 	Train_acc: 31.96
	Val_loss: 3.7412 	Val_acc: 1.99
Train Epoch: 104 	Train_loss: 0.5279 	Train_acc: 31.86
	Val_loss: 3.7692 	Val_acc: 1.95
Train Epoch: 105 	Train_loss: 0.5284 	Train_acc: 31.83
	Val_loss: 3.7562 	Val_acc: 1.97
Train Epoch: 106 	Train_loss: 0.5247 	Train_acc: 32.03
	Val_loss: 3.7497 	Val_acc: 1.96
Train Epoch: 107 	Train_loss: 0.5252 	Train_acc: 31.93
	Val_loss: 3.7839 	Val_acc: 1.96
Train Epoch: 108 	Train_loss: 0.5259 	Train_acc: 31.91
	Val_loss: 3.6727 	Val_acc: 2.02
Train Epoch: 109 	Train_loss: 0.5258 	Train_acc: 31.95
	Val_loss: 3.7439 	Val_acc: 1.98
Train Epoch: 110 	Train_loss: 0.5223 	Train_acc: 32.10
	Val_loss: 3.7971 	Val_acc: 1.93
Train Epoch: 111 	Train_loss: 0.5233 	Train_acc: 31.98
	Val_loss: 3.7269 	Val_acc: 1.98
Train Epoch: 112 	Train_loss: 0.5223 	Train_acc: 32.07
	Val_loss: 3.6854 	Val_acc: 1.99
Train Epoch: 113 	Train_loss: 0.5245 	Train_acc: 31.95
	Val_loss: 3.7663 	Val_acc: 1.99
Train Epoch: 114 	Train_loss: 0.5224 	Train_acc: 32.00
	Val_loss: 3.7271 	Val_acc: 2.01
Train Epoch: 115 	Train_loss: 0.5217 	Train_acc: 32.05
	Val_loss: 3.7179 	Val_acc: 1.98
Train Epoch: 116 	Train_loss: 0.5246 	Train_acc: 31.91
	Val_loss: 3.7256 	Val_acc: 1.96
Train Epoch: 117 	Train_loss: 0.5217 	Train_acc: 32.06
	Val_loss: 3.7341 	Val_acc: 1.97
Train Epoch: 118 	Train_loss: 0.5198 	Train_acc: 32.09
	Val_loss: 3.7390 	Val_acc: 2.02
Train Epoch: 119 	Train_loss: 0.5222 	Train_acc: 32.12
	Val_loss: 3.7103 	Val_acc: 1.99
Train Epoch: 120 	Train_loss: 0.5196 	Train_acc: 32.08
	Val_loss: 3.7181 	Val_acc: 2.01
Train Epoch: 121 	Train_loss: 0.5193 	Train_acc: 32.06
	Val_loss: 3.6787 	Val_acc: 2.01
Train Epoch: 122 	Train_loss: 0.5194 	Train_acc: 32.10
	Val_loss: 3.6511 	Val_acc: 2.01
Train Epoch: 123 	Train_loss: 0.5199 	Train_acc: 32.13
	Val_loss: 3.6491 	Val_acc: 1.98
Train Epoch: 124 	Train_loss: 0.5196 	Train_acc: 32.07
	Val_loss: 3.7135 	Val_acc: 1.99
Train Epoch: 125 	Train_loss: 0.5182 	Train_acc: 32.15
	Val_loss: 3.6953 	Val_acc: 2.04
Train Epoch: 126 	Train_loss: 0.5170 	Train_acc: 32.17
	Val_loss: 3.7114 	Val_acc: 1.99
Train Epoch: 127 	Train_loss: 0.5199 	Train_acc: 32.11
	Val_loss: 3.6673 	Val_acc: 2.02
Train Epoch: 128 	Train_loss: 0.5165 	Train_acc: 32.17
	Val_loss: 3.6992 	Val_acc: 2.01
Train Epoch: 129 	Train_loss: 0.5169 	Train_acc: 32.09
	Val_loss: 3.7403 	Val_acc: 1.99
Train Epoch: 130 	Train_loss: 0.5158 	Train_acc: 32.21
	Val_loss: 3.7061 	Val_acc: 2.01
Train Epoch: 131 	Train_loss: 0.5154 	Train_acc: 32.18
	Val_loss: 3.6754 	Val_acc: 2.04
Train Epoch: 132 	Train_loss: 0.5162 	Train_acc: 32.19
	Val_loss: 3.7115 	Val_acc: 2.03
Train Epoch: 133 	Train_loss: 0.5182 	Train_acc: 32.09
	Val_loss: 3.6971 	Val_acc: 2.00
Train Epoch: 134 	Train_loss: 0.5150 	Train_acc: 32.21
	Val_loss: 3.7484 	Val_acc: 2.01
Train Epoch: 135 	Train_loss: 0.5155 	Train_acc: 32.22
	Val_loss: 3.6764 	Val_acc: 2.05
Train Epoch: 136 	Train_loss: 0.5138 	Train_acc: 32.24
	Val_loss: 3.6843 	Val_acc: 2.02
Train Epoch: 137 	Train_loss: 0.5126 	Train_acc: 32.22
	Val_loss: 3.7064 	Val_acc: 2.02
Train Epoch: 138 	Train_loss: 0.5132 	Train_acc: 32.22
	Val_loss: 3.7046 	Val_acc: 1.97
Train Epoch: 139 	Train_loss: 0.5128 	Train_acc: 32.30
	Val_loss: 3.7323 	Val_acc: 2.03
Train Epoch: 140 	Train_loss: 0.5117 	Train_acc: 32.27
	Val_loss: 3.7095 	Val_acc: 2.02
Train Epoch: 141 	Train_loss: 0.5107 	Train_acc: 32.28
	Val_loss: 3.6832 	Val_acc: 2.05
Train Epoch: 142 	Train_loss: 0.5119 	Train_acc: 32.23
	Val_loss: 3.6946 	Val_acc: 2.02
Train Epoch: 143 	Train_loss: 0.5137 	Train_acc: 32.17
	Val_loss: 3.6501 	Val_acc: 2.03
Train Epoch: 144 	Train_loss: 0.5105 	Train_acc: 32.40
	Val_loss: 3.7165 	Val_acc: 2.02
Train Epoch: 145 	Train_loss: 0.5146 	Train_acc: 32.21
	Val_loss: 3.6584 	Val_acc: 2.04
Train Epoch: 146 	Train_loss: 0.5115 	Train_acc: 32.34
	Val_loss: 3.6927 	Val_acc: 2.01
Train Epoch: 147 	Train_loss: 0.5095 	Train_acc: 32.33
	Val_loss: 3.7001 	Val_acc: 2.02
Train Epoch: 148 	Train_loss: 0.5124 	Train_acc: 32.28
	Val_loss: 3.6842 	Val_acc: 2.03
Train Epoch: 149 	Train_loss: 0.5115 	Train_acc: 32.27
	Val_loss: 3.6953 	Val_acc: 2.02
Train Epoch: 150 	Train_loss: 0.5114 	Train_acc: 32.32
	Val_loss: 3.5992 	Val_acc: 2.10
Train Epoch: 151 	Train_loss: 0.5085 	Train_acc: 32.41
	Val_loss: 3.7193 	Val_acc: 2.00
Train Epoch: 152 	Train_loss: 0.5083 	Train_acc: 32.33
	Val_loss: 3.7218 	Val_acc: 2.04
Train Epoch: 153 	Train_loss: 0.5068 	Train_acc: 32.42
	Val_loss: 3.6392 	Val_acc: 2.07
Train Epoch: 154 	Train_loss: 0.5089 	Train_acc: 32.40
	Val_loss: 3.6730 	Val_acc: 2.05
Train Epoch: 155 	Train_loss: 0.5085 	Train_acc: 32.36
	Val_loss: 3.6686 	Val_acc: 2.04
Train Epoch: 156 	Train_loss: 0.5081 	Train_acc: 32.40
	Val_loss: 3.6606 	Val_acc: 2.03
Train Epoch: 157 	Train_loss: 0.5082 	Train_acc: 32.41
	Val_loss: 3.6789 	Val_acc: 2.05
Train Epoch: 158 	Train_loss: 0.5071 	Train_acc: 32.48
	Val_loss: 3.6737 	Val_acc: 2.00
Train Epoch: 159 	Train_loss: 0.5084 	Train_acc: 32.36
	Val_loss: 3.6611 	Val_acc: 2.05
Train Epoch: 160 	Train_loss: 0.5076 	Train_acc: 32.41
	Val_loss: 3.6883 	Val_acc: 2.03
Train Epoch: 161 	Train_loss: 0.5056 	Train_acc: 32.42
	Val_loss: 3.6647 	Val_acc: 2.02
Train Epoch: 162 	Train_loss: 0.5036 	Train_acc: 32.44
	Val_loss: 3.6565 	Val_acc: 2.01
Train Epoch: 163 	Train_loss: 0.5059 	Train_acc: 32.43
	Val_loss: 3.6786 	Val_acc: 2.07
Train Epoch: 164 	Train_loss: 0.5082 	Train_acc: 32.34
	Val_loss: 3.6831 	Val_acc: 2.02
Train Epoch: 165 	Train_loss: 0.5073 	Train_acc: 32.47
	Val_loss: 3.6578 	Val_acc: 2.04
Train Epoch: 166 	Train_loss: 0.5059 	Train_acc: 32.38
